,ADDRESS,CITY,URL,LATITUDE,LONGITUDE,LOCATION,travel_time,travel_cost
137,895 47Th St,Oakland,http://www.redfin.com/CA/Oakland/895-47th-St-94608/home/1306392,37.8357141,-122.27276599999999,"37.8357141,-122.27276599999999",44 mins,$4.45
138,6327 E 17Th St,Oakland,http://www.redfin.com/CA/Oakland/6327-E-17th-St-94621/home/1256833,37.76413370000001,-122.1949361,"37.76413370000001,-122.1949361",52 mins,$5.00
139,4023 Suter St,Oakland,http://www.redfin.com/CA/Oakland/4023-Suter-St-94619/home/1957436,37.787701,-122.200744,"37.787701,-122.200744",,
140,257 Smalley Ave,Hayward,http://www.redfin.com/CA/Hayward/257-Smalley-Ave-94541/home/1925288,37.668368799999996,-122.0980574,"37.668368799999996,-122.0980574",1 hour 0 mins,$5.95
141,2090 Hillside Dr,San Leandro,http://www.redfin.com/CA/San-Leandro/2090-Hillside-Dr-94577/home/1983812,37.723611600000005,-122.1330662,"37.723611600000005,-122.1330662",,
142,5733 E 17,Oakland,http://www.redfin.com/CA/Oakland/5733-E-17th-St-94621/home/1891698,37.7673745,-122.19867079999999,"37.7673745,-122.19867079999999",,
143,1364 E 32Nd St,Oakland,http://www.redfin.com/CA/Oakland/1364-E-32nd-St-94602/home/1670647,37.8004466,-122.23217379999998,"37.8004466,-122.23217379999998",,
144,3030 Nicol Ave,Oakland,http://www.redfin.com/CA/Oakland/3030-Nicol-Ave-94602/home/1970379,37.7930161,-122.21439879999998,"37.7930161,-122.21439879999998",,
145,"914 Blenheim St Unit 914,916",Oakland,http://www.redfin.com/CA/Oakland/914-Blenheim-St-94603/unit-914-916/home/170503888,37.7340599,-122.17232109999999,"37.7340599,-122.17232109999999",,
146,1839 9th Ave,Oakland,http://www.redfin.com/CA/Oakland/1839-9th-Ave-94606/home/533087,37.796034399999996,-122.24634520000001,"37.796034399999996,-122.24634520000001",,
147,2271 Washington Ave,SAN LEANDRO,http://www.redfin.com/CA/San-Leandro/2271-Washington-Ave-94577/home/170376260,37.71602120000001,-122.1510321,"37.71602120000001,-122.1510321",50 mins,$5.40
148,3800 Magee Ave,Oakland,http://www.redfin.com/CA/Oakland/3800-Magee-Ave-94619/home/547845,37.794427500000005,-122.1970643,"37.794427500000005,-122.1970643",,
149,27427 Patrick Ave,Hayward,http://www.redfin.com/CA/Hayward/27427-Patrick-Ave-94544/home/1374529,37.6325032,-122.07977199999999,"37.6325032,-122.07977199999999",,
150,2634 Highland Ave,Oakland,http://www.redfin.com/CA/Oakland/2634-Highland-Ave-94606/home/1936406,37.794382899999995,-122.2295477,"37.794382899999995,-122.2295477",,
